Tony Orlando	Dawn
Beyoncé	Jay Z
Faith Hill	Tim McGraw
Andy Farley	BK
Anne Savage	BK
Jay-Z	Beyoncé
Bing Crosby	The Andrews Sisters
Breeze	Styles
Brian Eno	Daniel Lanois
Brian Eno	John Cale
Brian Eno	Robert Fripp
Brian Eno	Roger Eno
Calvin Harris	Rihanna
Chris Lorenzo	Hannah Wants
David Guetta	Kelly Rowland
Diana Ross	Marvin Gaye
Drake	Rihanna
Ed Sheeran	Rudimental
Eve	Gwen Stefani
Labrinth	Tinie Tempah
Rihanna	Nicki Minaj
